Respondent_ID,Q1_Role,Q2_OrgType,Q3_OrgSize,Q4_Region,Q5_AnnualRevenue,Q6_MarketingBudget,Q7_DataSources,Q8_AnalyticsTools,Q9_CampaignStrategies,Q10_SuccessMetrics,Q11_EIAwareness,Q12_EmotionalInsightRating,Q13_MarketingChallenges,Q14_CrisisFrequency,Q15_CampaignBackfire,Q16_FeatureInterest,Q17_PreferredChannels,Q18_RegionalLanguageImportance,Q19_PreferredOutputFormat,Q20_WhiteLabelInterest,Q21_CurrentSaaSSpend,Q22_PreferredPricingModel,Q23_BudgetBand,Q23_BudgetINR_Numeric,Q_DecisionStyle,Q_TechAdoptionProfile,Q_AITrustLevel,Q_EmotionalDataImportance,Q_BrandVsRevenuePriority,Q_BudgetAuthority,Q_StakeholderCount,Q_AdoptionTrigger,Q_InternalBarrier,Q_CurrentSentimentTool,Q_CurrentToolSatisfaction,Q_SwitchingIntent,Q_AdoptionBlockers,Q_AnalyticsReviewFrequency,Q_AnalyticsTeamSize,Q_DataDrivenDecisionPct,Q_CrisisResponseTime,Q_CrisisHistory,Q_CrisisImpactType,Q_AnnualCampaigns,Q_EmotionalROIMeasured,Q_RequiredIntegrations,Q_DataPrivacyConcern,Q_TeamDataLiteracy,Q24_AdoptionLikelihood,Q24_AdoptionLikelihood_Ordinal,Adoption_Score_Raw
RESP_0001,Marketing Manager,FMCG/CPG,51-200,Middle East,10Cr-100Cr/1.2M-12M,5L-25L/6K-30K,Social Media|Customer Reviews|Customer Support Logs|Survey/Feedback Forms,HubSpot|Sprout Social/Hootsuite,Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|Offline/BTL Marketing,Engagement Rate|Conversion Rate|CSAT,Slightly aware,1.0,Identifying at-risk customers before churn|Justifying marketing spend to leadership|Managing brand crisis quickly,Occasionally,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer,Instagram/Facebook|Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|WhatsApp Business,Very important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|AI-generated recommendations,,1K-10K/month,Per-brand/per-seat,15K-50K,25239.35,Intuition/experience,Early Majority - adopt proven solutions,Don't trust AI recommendations,,4.0,My manager/Director,2-3,A leadership directive,Price/ROI justification,Yes - Brandwatch,5.0,Likely,Cost|Awareness|ROI uncertainty,Rarely/Never,2-5,58.6,Within a week,Yes - major business impact,Revenue loss,25.0,No - don't believe it's measurable,Zoho|Slack|Meta Ads Manager,Somewhat concerned,High - most are comfortable,Neutral,3,12.55
RESP_0002,Agency Professional,FMCG/CPG,201-1000,India-Metro,10Cr-100Cr/1.2M-12M,5L-25L/6K-30K,Social Media|Customer Reviews|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|CRM Data|Ad Performance Data,Google Analytics/Looker Studio,Performance/Paid Advertising|Content Marketing|SEO/Organic Growth|Community Building|PR/Earned Media|Offline/BTL Marketing,ROI/Revenue Generated|Engagement Rate,Very aware - already use tools,1.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Measuring brand reputation in real time|Justifying marketing spend to leadership,Rarely,Yes - significantly damaged brand,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts,Instagram/Facebook|Twitter/X|LinkedIn|Google/App Store Reviews|Customer Support Chat/Email|Survey/Form Responses,Somewhat important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|Raw data export (CSV/API)|AI-generated recommendations,Possibly - depends on pricing,1K-10K/month,Per-brand/per-seat,Would not pay,0.0,C-suite mandate,Early Majority - adopt proven solutions,Use AI as one input among many,3.0,3.0,CMO/VP,7+ with formal procurement,Budget review cycle,Integration complexity,Yes - Brandwatch,2.0,Unlikely,Cost|Awareness|Complexity|No internal champion|ROI uncertainty,Weekly,2-5,20.0,Within hours,Yes - minor impact,Revenue loss|Employee morale damage|We didn't measure it,77.0,Yes - formal process,HubSpot|Zoho|Slack|Google Data Studio/Looker|Standalone is fine,Somewhat concerned,Moderate - mixed team,Neutral,3,13.06
RESP_0003,Digital Marketing Specialist,SME,201-1000,North America,Under 50L/<60K,Under 5L/<6K,Social Media|Customer Reviews|Survey/Feedback Forms|Ad Performance Data,Google Analytics/Looker Studio|No dedicated tool,Influencer/Creator Marketing|Performance/Paid Advertising|Email/WhatsApp Marketing|SEO/Organic Growth|Community Building|PR/Earned Media|Offline/BTL Marketing,Engagement Rate|Conversion Rate|NPS|CSAT,Somewhat aware,3.0,Understanding WHY customers feel the way they do|Creating emotionally resonant campaigns|Managing brand crisis quickly,Rarely,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|YouTube Comments|LinkedIn|Customer Support Chat/Email|WhatsApp Business,Very important,Weekly/Monthly automated reports|Slack/WhatsApp alerts|Raw data export (CSV/API)|AI-generated recommendations|CRM/Marketing tool integration,Yes - definitely interested,1K-10K/month,Annual subscription,15K-50K,33193.09,Peer recommendations,Late Majority - wait for industry standard,Use AI as one input among many,4.0,4.0,Procurement committee,4-6,A leadership directive,Team adoption resistance,Yes - Brandwatch,3.0,Very likely to switch,Cost|Complexity|Already have a solution,Rarely/Never,2-5,31.5,Within 24 hours,Yes - minor impact,Share price/valuation impact,45.0,Yes - formal process,HubSpot|Zoho|Google Data Studio/Looker|Meta Ads Manager,Somewhat concerned,High - most are comfortable,Likely,4,17.04
RESP_0004,Brand Manager,FMCG/CPG,2-10,Middle East,Above 100Cr/12M+,25L-1Cr/30K-120K,Customer Reviews|Customer Support Logs|Survey/Feedback Forms,Google Analytics/Looker Studio|HubSpot|Sprout Social/Hootsuite|Tableau/Power BI,Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|PR/Earned Media,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|CSAT,Slightly aware,3.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Creating emotionally resonant campaigns|Measuring brand reputation in real time|Managing brand crisis quickly,Never - we have proactive monitoring,No - campaigns always landed well,Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,YouTube Comments|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|CRM/Marketing tool integration,N/A - not an agency,10K-50K/month,One-time project,5K-15K,6828.95,Data/case studies,Innovator - adopt cutting-edge early,Don't trust AI recommendations,4.0,1.0,CEO/Founder,4-6,A campaign failure,Lack of leadership buy-in,No - didn't know such tools existed,3.0,Very likely to switch,Awareness|No internal champion|ROI uncertainty,Quarterly,2-5,46.7,Within hours,No - never,Significant customer churn|Long-term brand equity damage|We didn't measure it,26.0,No - don't believe it's measurable,HubSpot|Salesforce|Google Data Studio/Looker|Shopify,Somewhat concerned,Moderate - mixed team,Neutral,3,15.86
RESP_0005,C-Suite Executive,FMCG/CPG,2-10,India-Metro,2Cr-10Cr/240K-1.2M,25L-1Cr/30K-120K,Social Media|Customer Support Logs,No dedicated tool,Influencer/Creator Marketing|Performance/Paid Advertising|SEO/Organic Growth|Community Building|Offline/BTL Marketing,ROI/Revenue Generated|Customer Sentiment|Conversion Rate|NPS,Somewhat aware,4.0,Understanding WHY customers feel the way they do|Personalising messaging at scale,Rarely,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer,Instagram/Facebook|Amazon/Ecommerce Reviews|Customer Support Chat/Email|Survey/Form Responses,Very important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|CRM/Marketing tool integration,N/A - not an agency,10K-50K/month,Annual subscription,5K-15K,12981.96,Intuition/experience,Early Adopter - adopt after seeing competitor success,Use AI as one input among many,3.0,1.0,CEO/Founder,7+ with formal procurement,A campaign failure,Price/ROI justification,No - tried but didn't work,0.0,Unlikely,Cost|No internal champion|ROI uncertainty|Already have a solution,Monthly,1,100.0,Within hours,Yes - minor impact,Share price/valuation impact|Employee morale damage|We didn't measure it,5.0,Yes - informally,Zoho|Slack|Shopify,Mildly concerned,Very low - need heavy hand-holding,Likely,4,20.03
RESP_0006,C-Suite Executive,Enterprise/MNC,11-50,Other,50L-2Cr/60K-240K,1Cr-5Cr/120K-600K,Social Media|Customer Reviews|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|CRM Data|Ad Performance Data,HubSpot|Tableau/Power BI,Influencer/Creator Marketing|Performance/Paid Advertising|Email/WhatsApp Marketing|PR/Earned Media|Offline/BTL Marketing,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|NPS,Not aware at all,4.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Personalising messaging at scale|Justifying marketing spend to leadership,Rarely,Not sure - didn't track,Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews,Extremely important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|AI-generated recommendations,N/A - not an agency,1K-10K/month,Monthly subscription,5K-15K,13573.02,Intuition/experience,Early Adopter - adopt after seeing competitor success,Skeptical but open,4.0,5.0,IT/Finance,4-6,A specific data gap,Price/ROI justification,No - not a priority,2.0,Likely,Cost|Data privacy concerns|ROI uncertainty,Weekly,1,14.8,Within a month,Yes - major business impact,Significant customer churn|Long-term brand equity damage,23.0,No - but would like to,Salesforce|Zoho|Google Data Studio/Looker,Mildly concerned,Very high - data-first culture,Neutral,3,16.83
RESP_0007,Founder/Co-Founder,Marketing/Creative Agency,11-50,Southeast Asia,10Cr-100Cr/1.2M-12M,Under 5L/<6K,Social Media|Customer Reviews|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|HubSpot|Salesforce|Sprout Social/Hootsuite|Brandwatch/Meltwater|Zoho CRM/Analytics,Influencer/Creator Marketing|Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|SEO/Organic Growth|PR/Earned Media,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|NPS|CSAT,Somewhat aware,2.0,Identifying at-risk customers before churn|Measuring brand reputation in real time|Personalising messaging at scale|Managing brand crisis quickly,Never - we have proactive monitoring,Yes - but minor impact,Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer,Instagram/Facebook|Twitter/X|LinkedIn|Google/App Store Reviews,Somewhat important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|AI-generated recommendations,N/A - not an agency,1K-10K/month,Usage-based,5K-15K,6949.9,Trial/testing,Late Majority - wait for industry standard,Skeptical but open,1.0,,CMO/VP,1 (just me),A campaign failure,Integration complexity,No - not a priority,2.0,N/A - no current tool,ROI uncertainty,Weekly,6-15,,Within a week,No - never,Revenue loss|Significant customer churn|Long-term brand equity damage,12.0,No - but would like to,Zoho|Other,Very concerned - hard blocker,Moderate - mixed team,Unlikely,2,11.5
RESP_0008,Data Analyst/Marketing Analyst,Enterprise/MNC,11-50,India-Metro,50L-2Cr/60K-240K,25L-1Cr/30K-120K,Social Media|Customer Support Logs|Survey/Feedback Forms|Ad Performance Data,Google Analytics/Looker Studio|Tableau/Power BI,Influencer/Creator Marketing|Performance/Paid Advertising|Email/WhatsApp Marketing|SEO/Organic Growth|PR/Earned Media,ROI/Revenue Generated|Engagement Rate|Customer Sentiment|Conversion Rate,Not aware at all,3.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Creating emotionally resonant campaigns|Personalising messaging at scale|Justifying marketing spend to leadership,Occasionally,Yes - but minor impact,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts,Instagram/Facebook|YouTube Comments|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|WhatsApp Business,Very important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|Slack/WhatsApp alerts,N/A - not an agency,1K-10K/month,Annual subscription,15K-50K,31605.87,Data/case studies,Early Adopter - adopt after seeing competitor success,Don't trust AI recommendations,3.0,5.0,I have full authority,2-3,Budget review cycle,Price/ROI justification,No - tried but didn't work,0.0,N/A - no current tool,Cost|Awareness,Monthly,1,12.8,Within a week,No - never,Employee morale damage|We didn't measure it,43.0,No - but would like to,Slack,Somewhat concerned,High - most are comfortable,Unlikely,2,9.66
RESP_0009,Digital Marketing Specialist,D2C Brand,51-200,Middle East,10Cr-100Cr/1.2M-12M,1Cr-5Cr/120K-600K,Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|CRM Data|Ad Performance Data,Google Analytics/Looker Studio|Brandwatch/Meltwater|Tableau/Power BI,Influencer/Creator Marketing|Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|SEO/Organic Growth|Community Building,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|NPS,Somewhat aware,3.0,Understanding WHY customers feel the way they do|Creating emotionally resonant campaigns|Measuring brand reputation in real time,Occasionally,Yes - but minor impact,Emotional Brand Score (EBS)|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|Google/App Store Reviews|Amazon/Ecommerce Reviews|WhatsApp Business|Survey/Form Responses,Very important,Real-time dashboard with visual charts|Slack/WhatsApp alerts|AI-generated recommendations,N/A - not an agency,Above 2L/month,Annual subscription,15K-50K,35484.08,Intuition/experience,Late Majority - wait for industry standard,Use AI as one input among many,4.0,4.0,CMO/VP,2-3,A specific data gap,Data privacy/security,Yes - other tool,0.0,Have long-term contracts,Cost|Complexity|Data privacy concerns|ROI uncertainty,Quarterly,6-15,19.3,Within a week,No - never,Revenue loss|Significant customer churn,5.0,Yes - informally,HubSpot|Zoho|Slack|Google Data Studio/Looker|Shopify,Not concerned at all,Low - struggle with complex tools,Unlikely,2,11.27
RESP_0010,Digital Marketing Specialist,Marketing/Creative Agency,2-10,India-Metro,Under 50L/<60K,1Cr-5Cr/120K-600K,Customer Reviews|Survey/Feedback Forms|CRM Data|Ad Performance Data,Google Analytics/Looker Studio,Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|SEO/Organic Growth|Community Building,ROI/Revenue Generated|Engagement Rate|Conversion Rate|NPS,Not aware at all,5.0,Connecting emotional data to campaign performance|Measuring brand reputation in real time|Managing brand crisis quickly,Very frequently,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|YouTube Comments|LinkedIn|WhatsApp Business|Survey/Form Responses,Very important,Real-time dashboard with visual charts|Slack/WhatsApp alerts|AI-generated recommendations,N/A - not an agency,1K-10K/month,Monthly subscription,5K-15K,9996.08,Peer recommendations,Innovator - adopt cutting-edge early,Don't trust AI recommendations,2.0,5.0,I have full authority,1 (just me),A leadership directive,Team adoption resistance,No - tried but didn't work,0.0,N/A - no current tool,Cost|Awareness|Complexity|ROI uncertainty,Quarterly,6-15,32.6,Within a week,Yes - minor impact,Significant customer churn,14.0,No - but would like to,HubSpot|Zoho|Slack|Standalone is fine,Very concerned - hard blocker,High - most are comfortable,Neutral,3,14.32
